구분,Unnamed: 1,Unnamed: 2,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,95% CI
경기,60-69,,,,,,,,,,,3.3(0.3),3.3(0.3),3.3(0.3),2.4(0.2),2.9(0.2),3.4(0.2),3.3(0.2),3.6(0.2),3.2-4.1
경기,70이상,,,,,,,,,,,6.4(0.4),8.3(0.5),5.8(0.4),4.8(0.4),6.8(0.4),6.8(0.4),6.6(0.4),7.1(0.3),6.4-7.8
강원,N,(명),,,,,,,,,,"15,791","15,783","15,718","15,791","15,806","15,800","15,816","15,800",
강원,전체,(조율),,,,,,,,,,3.2(0.2),3.4(0.3),3.6(0.3),3.2(0.3),3.7(0.3),4.1(0.2),4.1(0.2),4.2(0.3),3.7-4.7
강원,,(표준화율),,,,,,,,,,3.0(0.2),2.9(0.2),3.8(0.3),3.4(0.3),3.6(0.3),3.9(0.3),3.9(0.3),4.2(0.3),3.6-4.9
강원,남,,,,,,,,,,,2.2(0.2),2.4(0.3),2.0(0.3),2.6(0.3),2.9(0.3),2.7(0.3),2.9(0.3),3.5(0.3),2.9-4.1
강원,여,,,,,,,,,,,4.2(0.3),4.3(0.4),5.2(0.5),3.8(0.3),4.5(0.4),5.4(0.4),5.3(0.4),4.9(0.3),4.2-5.5
강원,19-29,,,,,,,,,,,4.8(0.7),2.0(0.5),4.2(0.9),4.8(0.8),3.3(0.8),4.0(0.7),4.9(0.9),4.3(0.9),2.5-6.0
강원,30-39,,,,,,,,,,,2.0(0.4),2.4(0.7),4.7(0.9),3.1(0.7),4.1(0.8),4.2(0.8),3.0(0.7),5.1(0.8),3.6-6.6
강원,40-49,,,,,,,,,,,1.6(0.3),2.8(0.5),2.7(0.6),2.5(0.5),3.0(0.5),3.0(0.5),3.3(0.6),3.4(0.5),2.3-4.5
강원,50-59,,,,,,,,,,,1.9(0.3),2.5(0.4),2.2(0.4),3.2(0.6),3.7(0.6),2.4(0.4),3.2(0.4),3.7(0.5),2.8-4.7
강원,60-69,,,,,,,,,,,3.1(0.4),4.3(0.7),3.7(0.5),2.7(0.4),2.8(0.4),4.0(0.5),3.8(0.5),3.4(0.4),2.7-4.1
강원,70이상,,,,,,,,,,,6.4(0.5),6.2(0.6),4.6(0.4),3.2(0.4),5.3(0.6),7.0(0.5),6.2(0.6),5.5(0.5),4.6-6.4
충북,N,(명),,,,,,,,,,"12,346","12,372","12,427","12,436","12,449","12,444","12,331","12,433",
충북,전체,(조율),,,,,,,,,,3.1(0.2),3.7(0.2),3.8(0.2),2.6(0.2),2.8(0.2),3.5(0.2),3.6(0.2),3.5(0.2),3.0-3.9
충북,,(표준화율),,,,,,,,,,2.8(0.2),3.4(0.2),3.7(0.3),2.6(0.2),3.0(0.2),3.6(0.3),3.6(0.2),3.3(0.2),2.9-3.8
충북,남,,,,,,,,,,,2.3(0.3),2.6(0.3),2.5(0.3),1.8(0.2),2.1(0.2),2.7(0.3),2.6(0.3),2.3(0.3),1.8-2.8
