시도,시군구,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
대구,남구,7.0(0.9),8.0(0.9),6.1(0.7),8.3(0.9),6.8(0.8),7.3(0.8),6.9(0.9),7.2(0.8),7.8(0.9),8.6(0.8),7.7(0.9),9.0(1.0),9.1(1.0),10.7(1.1),9.2(1.1),8.5(1.0),10.1(1.0)
대구,달서구,4.8(0.8),7.1(0.9),7.8(0.7),6.8(0.8),6.9(0.8),8.5(0.9),7.6(0.9),7.7(0.9),7.7(0.8),6.5(0.7),7.7(0.8),7.7(0.9),7.3(0.9),8.4(0.8),8.7(0.9),9.9(1.1),7.9(0.9)
대구,달성군,6.8(0.9),7.3(0.8),7.3(0.9),7.0(0.8),7.8(0.9),5.6(0.8),6.3(0.7),7.6(0.8),7.9(0.8),7.8(0.9),9.2(0.9),8.5(0.9),6.9(0.8),8.5(0.9),8.5(0.9),9.1(0.9),8.0(0.9)
대구,동구,7.0(0.9),8.0(0.8),6.9(0.9),6.8(0.7),6.0(0.7),7.2(0.8),7.2(0.8),7.6(0.8),7.1(0.7),7.1(0.7),7.5(0.7),7.3(0.8),6.8(0.7),8.8(1.0),10.0(0.9),8.8(0.9),9.3(0.8)
대구,북구,9.4(1.0),5.7(0.7),4.4(0.6),5.9(0.8),5.5(0.7),6.9(0.8),6.5(0.8),9.2(0.8),8.3(0.9),9.3(0.8),8.6(0.9),8.3(0.9),9.0(0.9),7.7(0.7),9.1(0.9),8.1(0.8),7.7(0.8)
대구,서구,7.3(0.9),7.5(0.9),6.4(0.8),8.7(0.8),8.1(0.9),8.0(0.9),6.7(0.8),9.2(0.9),7.7(0.8),8.1(0.8),8.7(1.1),8.4(0.9),8.5(0.8),9.0(1.0),11.2(1.2),8.4(0.8),8.9(1.0)
대구,수성구,7.4(0.8),5.3(0.7),6.5(0.7),6.7(0.9),7.1(0.7),6.4(0.7),5.6(0.6),7.4(0.8),7.4(0.7),8.1(0.9),6.0(0.7),5.1(0.7),7.3(0.9),7.0(0.8),8.0(0.8),7.8(0.8),5.7(0.8)
대구,중구,6.5(1.0),7.2(0.8),8.9(0.9),8.4(0.9),7.7(0.8),7.0(0.8),7.5(0.8),6.5(0.8),6.5(0.8),8.3(0.9),7.6(0.9),6.9(0.8),8.4(0.9),8.5(1.0),8.2(0.8),7.5(0.8),8.5(1.0)
대구,군위군,,,,,,,,,,,,,,,,7.8(1.1),9.5(1.2)
인천,강화군,4.9(0.7),7.2(0.8),6.5(0.8),5.7(0.7),8.9(0.9),7.0(0.8),7.9(1.1),8.0(1.3),8.6(1.0),10.3(1.4),9.1(1.2),9.4(1.0),9.9(1.4),12.1(1.4),10.3(1.2),11.9(1.5),13.5(1.9)
인천,계양구,7.2(1.0),8.0(1.1),8.2(1.0),7.6(1.0),8.4(1.1),6.9(0.9),9.3(1.0),10.1(1.1),8.0(0.9),9.7(0.9),9.2(1.0),10.6(0.9),9.2(0.9),12.4(1.2),8.6(1.0),11.1(1.1),11.0(1.1)
인천,미추홀구,6.8(0.9),6.0(0.8),7.8(0.8),8.2(0.8),7.9(0.9),7.3(0.8),7.0(0.8),9.1(0.9),8.6(0.9),9.3(1.0),9.5(1.0),8.0(0.8),9.9(1.1),10.1(1.0),8.7(0.8),11.0(1.0),10.1(1.0)
인천,남동구,7.1(1.0),5.3(0.8),9.3(1.1),6.6(0.9),7.7(0.9),7.0(0.8),7.9(1.1),9.0(0.9),9.1(0.9),9.5(0.9),8.8(0.9),9.5(1.0),10.4(1.1),10.4(1.1),9.2(1.0),9.7(1.0),11.2(1.2)
인천,동구,6.2(0.8),8.9(0.9),7.3(0.9),8.7(0.8),9.4(1.0),7.5(0.8),8.8(1.0),9.8(1.0),11.3(1.1),11.5(1.3),11.4(1.2),8.1(0.8),10.2(1.1),9.7(1.1),11.0(1.1),12.5(1.2),13.6(1.3)
인천,부평구,4.6(0.8),6.4(0.7),7.7(0.9),9.4(1.1),8.4(0.9),7.1(0.8),10.6(1.0),9.1(1.0),6.2(0.9),10.8(0.9),8.8(0.9),8.0(0.8),8.1(0.9),7.6(0.8),10.9(0.9),9.2(0.7),10.7(1.0)
인천,서구,4.7(0.8),6.1(0.8),6.7(0.9),8.3(1.0),7.4(0.9),9.3(1.0),7.8(0.9),8.3(1.0),6.7(0.9),7.7(0.9),10.7(1.1),9.8(1.0),8.0(0.9),10.3(1.1),8.8(0.9),8.0(0.8),7.5(0.8)
인천,연수구,6.8(1.0),6.8(1.0),6.8(0.9),7.1(1.0),7.5(1.0),6.8(1.0),7.3(1.0),7.3(1.0),8.1(1.0),8.1(1.0),8.1(0.9),8.1(1.0),9.2(0.9),8.8(1.0),8.2(0.9),9.0(1.1),6.7(0.9)
인천,옹진군,6.1(1.0),5.2(0.8),8.4(1.1),6.3(0.8),8.4(1.1),6.2(0.9),9.5(1.2),9.0(1.2),8.9(1.1),11.1(1.4),10.9(1.4),10.2(1.2),7.9(1.1),11.6(1.5),10.0(1.4),13.4(1.7),12.6(1.4)
인천,중구,7.1(0.9),6.5(0.8),8.8(1.1),7.8(0.8),7.9(0.9),7.2(0.8),8.5(0.9),8.1(0.8),8.6(0.9),7.5(0.8),8.4(0.9),8.9(1.1),8.3(0.9),8.4(0.8),10.4(1.1),11.4(1.1),8.6(1.0)
광주,광산구,5.5(0.8),7.0(0.8),9.0(1.1),6.4(0.8),5.8(0.8),7.9(0.9),7.2(0.8),6.2(0.8),6.2(0.8),8.9(0.8),6.4(0.7),9.4(0.8),8.5(0.8),7.7(0.9),8.0(0.9),9.1(0.9),9.2(0.9)
광주,남구,7.2(0.8),6.0(0.7),7.0(0.8),5.9(0.7),7.0(0.8),7.1(0.9),8.6(0.9),6.8(0.8),8.6(0.9),7.5(0.8),8.6(0.9),6.2(0.6),6.4(0.8),7.4(0.8),9.9(1.0),7.5(0.8),7.9(0.7)
광주,동구,5.9(0.9),7.2(0.8),8.3(0.9),7.8(1.0),7.7(0.9),9.6(1.0),7.0(0.7),10.0(1.0),8.3(1.0),7.1(1.0),6.4(0.8),8.7(1.0),6.4(0.8),7.3(0.8),9.3(1.0),9.8(0.9),7.2(0.8)
광주,북구,6.3(0.9),7.6(0.8),8.1(0.9),7.6(0.8),6.2(0.7),7.2(0.8),9.3(0.8),6.4(0.7),7.3(0.8),9.5(1.1),8.3(0.8),8.0(0.7),8.0(0.8),7.8(0.7),7.7(0.8),9.2(0.8),9.3(0.8)
광주,서구,6.7(0.8),5.8(0.7),5.1(0.7),7.0(0.8),7.0(0.7),6.5(0.6),8.1(0.8),7.0(0.9),6.4(0.7),6.5(0.8),5.8(0.9),7.2(0.8),8.0(0.8),9.2(0.9),10.3(1.0),8.0(0.8),9.6(1.0)
대전,대덕구,6.6(0.8),7.3(0.9),7.6(0.8),6.6(0.9),7.4(0.9),9.5(1.0),7.4(0.9),9.7(1.0),10.4(0.9),11.5(1.1),8.4(0.9),9.4(1.0),9.4(1.0),9.1(0.9),9.2(0.9),9.8(1.0),9.3(1.0)
대전,동구,7.1(0.9),7.6(0.9),7.8(0.9),8.2(0.8),6.4(0.8),7.5(0.9),8.2(0.8),9.2(0.9),6.8(0.7),9.5(0.9),9.4(1.0),8.6(0.9),8.5(0.9),11.0(1.1),10.8(1.1),10.6(1.1),10.9(1.1)
대전,서구,5.8(0.9),7.1(0.8),6.6(0.9),6.7(0.8),7.3(0.9),7.3(0.9),10.4(1.0),8.3(0.8),6.5(0.7),6.1(0.8),7.7(1.0),7.4(0.8),5.5(0.7),5.3(0.7),6.6(0.8),7.4(0.8),6.4(0.7)
대전,유성구,4.4(1.1)*,5.4(0.9),6.1(0.9),7.6(1.0),6.6(0.9),6.7(0.8),8.5(1.0),9.0(1.0),4.7(0.7),6.7(1.0),6.4(0.8),5.6(0.8),7.7(0.9),7.2(0.8),7.9(0.9),10.0(0.9),8.5(0.9)
대전,중구,7.1(1.0),7.4(0.9),6.2(0.7),7.6(0.9),6.1(0.8),7.0(0.8),7.6(0.9),8.0(0.9),6.7(0.7),10.0(1.1),8.0(0.8),7.9(0.9),6.9(0.8),10.4(1.1),10.0(1.0),9.0(0.9),11.8(1.0)
울산,남구,5.8(0.7),6.3(0.8),7.6(1.0),7.8(1.0),6.1(0.8),6.6(0.8),7.2(0.9),8.4(0.9),7.0(0.8),7.0(0.9),7.7(0.8),9.3(1.0),8.2(0.8),8.3(0.9),8.3(1.0),6.5(0.7),8.6(0.9)
울산,동구,3.8(0.8),5.5(0.9),6.9(0.9),6.2(1.0),6.4(0.9),6.6(0.9),8.5(1.0),7.7(1.0),7.2(0.9),5.9(0.8),6.9(0.9),9.0(1.0),9.3(0.9),8.8(1.0),8.7(0.9),8.5(0.9),8.1(0.7)
울산,북구,4.8(0.9),7.1(1.0),5.6(1.0),7.5(1.0),5.2(0.8),6.7(0.9),8.6(1.1),6.8(1.0),7.6(0.9),7.0(0.9),9.1(1.0),7.8(1.0),7.2(0.9),8.6(0.9),9.0(1.0),6.4(0.9),8.5(0.9)
울산,울주군,6.2(0.8),8.3(0.9),5.7(0.7),6.6(0.9),7.6(0.9),7.1(0.8),8.6(0.8),8.6(0.8),8.0(0.8),9.2(0.9),8.7(0.9),7.2(0.8),8.7(0.9),7.0(0.9),7.5(0.8),8.9(1.0),8.4(1.1)
울산,중구,4.7(0.7),6.3(0.8),8.8(0.9),7.2(0.9),7.5(0.9),6.8(0.8),8.0(0.9),7.5(0.9),10.2(0.9),8.6(0.9),7.5(0.8),7.0(0.7),7.0(0.8),7.9(0.8),8.2(0.9),7.1(0.8),8.6(1.0)
세종,세종시,,,,,,6.2(0.7),7.9(0.8),7.9(0.8),8.0(0.8),9.7(0.9),7.4(0.8),6.2(0.8),9.1(1.1),7.0(0.8),6.8(0.8),9.0(0.9),10.2(1.1)
경기,가평군,8.0(1.1),8.6(1.0),10.2(1.1),7.7(0.9),8.3(0.8),7.8(0.9),10.2(1.1),9.1(0.9),9.5(0.9),8.2(0.8),8.0(0.8),8.2(0.9),9.8(0.9),9.1(1.1),7.6(0.8),11.1(1.0),9.0(1.1)
경기,고양시,4.8(0.5),6.7(0.5),7.1(0.5),7.5(0.5),6.7(0.5),6.5(0.5),7.4(0.5),7.6(0.5),7.9(0.5),7.4(0.5),7.4(0.5),6.8(0.5),7.1(0.5),9.3(0.5),8.9(0.5),7.8(0.5),9.1(0.5)
경기,고양시 덕양구,4.6(0.8),7.3(0.9),7.4(0.9),7.9(0.9),7.5(0.9),6.4(0.8),8.8(0.8),7.9(0.8),7.6(0.8),7.3(0.9),8.4(0.9),7.5(0.8),7.5(0.7),9.8(0.9),8.6(0.8),6.8(0.7),10.1(0.8)
경기,고양시 일산동구,6.3(1.1),4.9(0.7),7.5(0.9),6.3(0.8),6.3(0.8),5.8(0.8),5.9(0.8),9.3(1.0),6.9(0.7),6.8(0.8),7.2(0.9),6.2(0.8),7.2(0.9),7.0(0.8),9.1(1.0),7.5(0.8),8.3(1.0)
경기,고양시 일산서구,4.0(0.9),7.5(0.9),6.4(0.9),7.7(0.9),5.5(0.8),7.8(0.9),6.5(0.8),5.6(0.8),9.1(1.0),8.3(0.9),6.2(0.8),6.4(0.8),6.3(0.8),10.8(1.0),9.3(1.0),9.9(1.1),8.1(0.9)
경기,과천시,4.8(0.9),6.3(0.8),7.1(0.9),5.5(0.8),5.8(0.9),4.9(0.7),6.2(0.9),4.5(0.7),6.5(0.8),6.7(0.9),6.1(0.8),5.0(0.7),4.3(0.6),4.9(0.7),5.6(0.8),6.1(0.8),7.1(0.9)
경기,구리시,6.3(0.9),8.4(1.0),7.4(0.9),8.3(1.1),9.1(1.1),8.2(1.0),8.3(1.0),7.4(0.9),7.1(0.8),9.3(0.9),8.3(0.9),8.3(0.9),6.4(0.8),6.8(0.7),8.5(0.9),9.5(0.9),8.9(1.0)
경기,김포시,6.5(1.0),6.6(0.8),6.7(0.8),7.1(0.8),7.0(0.8),4.9(0.7),7.1(0.8),6.3(0.9),10.6(1.0),8.9(0.9),8.9(1.0),8.3(1.0),10.6(1.0),10.8(0.9),9.4(1.0),8.6(0.9),9.5(0.8)
경기,남양주시,8.7(1.0),8.5(0.9),8.0(0.9),9.5(1.0),7.2(0.9),7.4(0.9),7.8(0.9),7.2(0.8),8.0(0.8),8.6(0.9),10.2(1.0),8.4(0.7),8.1(0.7),8.6(0.7),11.6(0.8),10.1(0.8),9.4(0.7)
경기,남양주시 남양주,,,,,,,,,,,,8.1(0.9),8.1(0.9),8.4(1.0),11.3(1.0),9.4(1.1),9.2(0.9)
경기,남양주시 풍양,,,,,,,,,,,,9.2(0.9),8.1(0.9),8.9(0.9),12.0(1.0),11.4(1.0),9.7(0.9)
경기,동두천시,7.6(0.9),8.9(0.8),7.7(0.9),9.8(1.0),7.9(0.9),10.6(1.0),8.6(0.9),8.0(0.8),10.4(1.0),10.5(1.0),9.8(1.0),10.1(0.8),9.8(0.9),10.4(1.0),13.4(1.3),11.1(1.1),11.6(1.2)
경기,부천시,5.9(0.5),7.4(0.6),8.0(0.6),7.4(0.6),6.6(0.5),7.2(0.6),8.0(0.5),8.0(0.5),8.0(0.5),8.3(0.6),8.0(0.5),9.4(0.6),9.0(0.6),8.5(0.6),9.4(0.6),9.6(0.6),9.9(0.6)
경기,부천시 소사,5.6(0.9),6.7(0.9),9.3(1.0),8.2(1.1),7.1(1.0),7.0(0.9),7.3(0.9),7.0(0.9),6.4(0.8),7.8(0.9),8.9(1.0),8.1(0.8),8.1(0.9),8.1(1.0),8.7(1.0),10.0(0.9),10.5(1.1)
경기,부천시 오정,7.3(1.0),7.2(0.9),8.3(1.1),9.0(1.0),8.2(1.0),7.9(0.9),8.6(0.9),9.3(0.9),9.2(1.0),9.0(1.0),7.7(0.9),11.0(1.2),10.7(1.2),10.5(1.0),11.4(1.1),10.2(1.0),10.8(1.0)
경기,부천시 원미,5.5(0.8),7.9(1.0),7.3(0.9),6.4(0.9),5.6(0.7),7.0(1.0),8.1(0.9),7.9(0.9),8.3(0.9),8.1(0.9),7.7(0.8),9.3(1.0),8.9(1.0),7.9(0.9),8.8(0.9),9.1(0.9),9.1(0.9)
경기,양주시,6.8(0.8),7.6(0.9),8.8(1.0),10.1(0.9),9.0(0.9),9.0(1.0),8.1(0.9),8.0(0.9),7.6(0.9),7.0(0.7),9.6(1.0),8.8(0.9),9.9(0.9),10.4(1.2),8.8(0.9),11.6(1.2),9.3(0.9)
경기,양평군,8.0(0.9),7.2(0.8),7.3(0.9),8.7(1.0),6.3(0.6),8.0(0.9),8.8(0.9),6.6(0.9),6.5(0.8),7.7(0.9),9.5(1.0),9.0(1.2),9.4(1.1),11.7(1.3),13.1(1.5),8.3(1.0),8.7(1.2)
경기,여주시,7.5(1.0),9.0(1.0),7.2(0.8),9.2(0.8),9.1(0.9),9.9(1.0),10.0(0.9),8.9(1.0),7.9(0.8),8.0(0.9),6.7(0.7),7.0(0.9),11.5(1.2),9.8(1.1),9.1(1.0),10.7(1.1),10.1(1.0)
경기,연천군,7.6(0.8),7.1(0.8),8.9(0.9),9.9(1.0),9.4(0.9),8.7(0.8),8.8(0.9),9.1(1.0),9.6(1.0),9.3(1.1),10.7(1.1),9.7(0.9),8.9(1.0),9.6(1.1),11.5(1.2),9.4(1.1),12.2(1.3)
경기,의정부시,6.1(0.9),7.1(1.0),7.5(0.9),9.7(0.9),9.1(1.0),8.6(0.9),8.2(0.9),8.4(0.9),8.5(0.9),7.4(0.8),8.4(0.9),11.0(1.0),7.7(0.8),9.8(1.0),10.0(1.0),10.4(0.9),9.4(1.0)
