시도,시군구,2017,2018,2019,2020,2021,2022,2023,2024
전북,전주시,25.5,32.7,,28.7,30.6,31.9,34.7,28.9
전북,정읍시,27.7,32.9,,32.3,34.7,36.4,34.8,36.2
전북,진안군,23.2,27.8,,33.0,28.1,28.7,35.1,42.7
전남,강진군,28.7,30.8,,35.6,36.6,39.0,35.6,41.6
전남,고흥군,24.2,36.8,,31.1,30.0,30.1,37.1,31.0
전남,곡성군,32.4,32.6,,32.3,31.2,38.4,36.9,35.2
전남,광양시,24.1,30.8,,32.0,33.4,33.9,32.5,37.3
전남,구례군,30.0,33.1,,29.5,35.1,31.3,37.4,30.8
전남,나주시,30.8,33.1,,32.4,33.3,34.5,34.0,37.5
전남,담양군,30.5,37.3,,27.5,30.9,34.8,34.2,35.3
전남,목포시,32.7,34.0,,34.8,32.5,34.4,36.3,38.3
전남,무안군,27.4,32.7,,34.1,33.4,31.8,34.9,34.9
전남,보성군,27.2,37.5,,30.8,34.9,34.6,29.8,38.0
전남,순천시,27.9,28.4,,28.9,29.4,31.4,32.0,35.7
전남,신안군,28.4,38.4,,25.8,33.5,38.8,41.8,36.7
전남,여수시,30.6,32.7,,30.6,31.4,36.7,34.4,38.1
전남,영광군,30.4,39.6,,33.9,34.4,36.8,33.7,36.6
전남,영암군,27.5,35.1,,32.6,39.8,32.2,31.2,40.3
전남,완도군,33.2,39.6,,31.8,33.5,33.0,32.9,45.1
전남,장성군,25.9,32.0,,33.4,31.3,36.5,33.4,32.6
전남,장흥군,32.3,32.0,,28.7,34.1,29.0,27.7,34.9
전남,진도군,29.7,39.5,,32.1,40.5,38.2,38.3,39.3
전남,함평군,23.7,27.1,,25.8,30.9,36.8,33.1,33.9
전남,해남군,29.9,37.1,,30.0,38.8,31.8,35.1,37.6
전남,화순군,24.3,29.2,,31.2,30.6,29.5,37.7,36.4
경북,경산시,28.0,31.1,,30.1,33.4,34.3,30.3,34.4
경북,경주시,29.1,30.0,,28.1,31.4,30.7,38.0,30.0
경북,고령군,36.0,34.0,,32.6,31.8,35.0,41.5,35.4
경북,구미시,31.5,31.8,,31.2,31.5,34.1,33.3,33.6
경북,구미시 구미,31.8,31.5,,30.6,31.2,35.0,34.7,33.2
경북,구미시 선산,29.2,32.6,,33.0,33.4,31.1,28.9,33.5
경북,군위군,27.5,37.4,,31.3,29.9,28.2,,
경북,김천시,31.6,32.8,,27.8,28.4,31.3,33.5,30.1
경북,문경시,31.9,32.6,,27.1,32.7,33.6,30.6,34.3
경북,봉화군,35.6,33.0,,33.1,35.1,35.7,39.7,32.2
경북,상주시,27.5,28.5,,27.2,28.5,36.7,31.5,33.3
경북,성주군,28.7,24.9,,36.1,35.9,28.9,28.0,29.6
경북,안동시,27.8,29.7,,33.1,35.4,32.3,33.2,32.8
경북,영덕군,26.3,33.8,,36.2,30.8,31.4,24.4,30.8
경북,영양군,28.4,23.3,,28.9,25.6,28.7,29.1,28.9
경북,영주시,29.9,30.5,,26.1,28.1,33.5,33.9,33.7
경북,영천시,30.8,29.7,,33.4,36.9,35.5,35.4,42.0
경북,예천군,28.6,25.4,,33.5,32.5,31.2,30.0,30.7
경북,울릉군,33.5,35.2,,32.9,32.2,35.5,33.8,33.7
경북,울진군,25.7,30.0,,31.2,31.2,30.6,35.7,31.7
경북,의성군,31.4,29.1,,32.4,32.7,29.0,32.0,30.8
경북,청도군,33.1,31.7,,31.3,29.3,39.9,30.9,37.2
경북,청송군,28.1,37.9,,34.4,35.7,37.0,38.4,35.5
경북,칠곡군,30.0,34.4,,32.4,36.1,34.0,36.6,28.7
경북,포항시,30.4,32.9,,31.6,31.1,31.2,36.1,34.5
경북,포항시 남구,29.1,33.6,,30.6,33.1,35.0,40.0,35.1
경북,포항시 북구,31.6,32.3,,32.5,29.2,28.0,32.8,34.2
경남,거제시,27.5,34.1,,30.9,32.1,36.7,32.4,34.7
경남,거창군,23.4,29.9,,28.1,36.0,35.3,33.5,35.1
경남,고성군,28.6,28.4,,28.5,30.9,37.8,35.9,33.6
경남,김해시,27.6,31.6,,30.8,32.4,35.1,30.9,36.2
경남,남해군,29.7,32.0,,32.7,33.7,28.8,37.6,33.7
경남,창원시,27.8,30.2,,30.7,31.4,32.6,32.1,32.4
경남,창원시 마산,27.3,30.9,,30.6,33.1,36.1,32.6,35.2
경남,창원시 진해,25.5,33.2,,30.8,30.3,31.1,32.1,35.0
경남,창원시 창원,28.9,28.8,,30.9,31.1,30.7,32.1,29.3
경남,밀양시,28.8,38.6,,30.7,29.4,32.7,33.1,34.0
경남,사천시,27.1,26.9,,29.8,30.0,32.0,36.0,36.6
경남,산청군,29.6,25.5,,31.0,36.3,32.3,35.4,31.9
경남,양산시,27.5,31.9,,34.2,33.0,28.6,34.4,32.3
경남,의령군,35.2,28.1,,30.5,33.6,29.5,38.3,40.0
경남,진주시,28.8,33.2,,28.3,30.6,35.1,30.2,31.3
경남,창녕군,26.5,32.0,,28.9,32.7,26.8,33.4,32.8
경남,통영시,27.5,31.2,,30.8,31.0,35.6,36.9,36.3
경남,하동군,29.2,33.2,,28.9,30.9,34.0,30.0,34.2
경남,함안군,32.1,34.2,,28.1,31.5,34.7,35.1,33.3
경남,함양군,23.2,27.4,,30.3,33.2,33.7,32.8,37.7
경남,합천군,29.4,28.8,,33.9,31.0,34.6,31.1,38.9
제주,서귀포시,32.1,34.4,,36.7,36.5,36.3,34.3,34.9
제주,서귀포시 서귀포,30.2,35.3,,34.8,34.5,35.6,31.4,35.2
제주,서귀포시 동부,36.6,36.1,,39.6,40.8,38.5,37.7,33.8
제주,서귀포시 서부,32.0,29.0,,38.9,37.9,35.8,39.6,36.1
제주,제주시,28.6,31.9,,34.4,35.8,36.5,36.7,37.3
제주,제주시 제주,26.9,31.3,,34.5,36.2,36.2,36.9,37.1
제주,제주시 동부,30.6,31.4,,34.3,35.9,37.6,33.7,34.7
제주,제주시 서부,37.7,36.7,,35.5,33.2,38.1,38.0,41.8
