시도,시군구,2017,2018,2019,2020,2021,2022,2023,2024
전남,해남군,2.0,1.4,1.1,3.2,2.6,0.9,1.6,2.2
전남,화순군,4.9,4.5,3.7,2.9,3.4,4.6,5.2,1.1
경북,경산시,2.7,3.7,3.6,1.7,3.2,3.8,3.0,2.9
경북,경주시,3.7,3.5,5.5,3.2,3.3,6.6,5.3,3.1
경북,고령군,1.5,4.4,2.5,1.6,3.5,3.4,3.2,4.2
경북,구미시,5.0,4.2,4.2,6.2,4.9,4.9,6.9,5.9
경북,구미시 구미,5.6,4.3,4.1,7.5,4.8,5.1,7.7,6.7
경북,구미시 선산,3.0,3.6,4.4,1.8,5.4,3.8,4.6,3.5
경북,군위군,0.5,1.3,1.4,2.1,1.3,1.6,,
경북,김천시,3.4,2.6,3.5,1.9,1.0,4.0,2.6,3.0
경북,문경시,2.0,2.8,3.5,4.8,3.5,3.1,2.3,3.4
경북,봉화군,4.4,3.4,6.0,6.4,2.2,6.6,2.9,2.4
경북,상주시,2.4,1.1,0.4,2.4,1.5,2.8,2.0,0.8
경북,성주군,1.6,0.9,1.9,1.8,0.9,1.4,2.5,3.5
경북,안동시,3.5,6.2,3.6,5.2,4.1,4.3,8.0,5.3
경북,영덕군,0.0,2.6,0.4,1.0,0.4,0.8,0.8,1.0
경북,영양군,1.9,1.2,1.3,2.7,4.0,3.8,2.9,3.5
경북,영주시,3.1,2.8,3.1,2.8,3.6,6.1,2.5,2.3
경북,영천시,4.6,6.3,6.5,2.4,3.9,6.1,4.0,5.3
경북,예천군,0.7,0.2,0.7,1.7,2.5,2.1,1.7,1.3
경북,울릉군,1.9,1.9,2.0,0.3,2.5,1.8,2.6,5.8
경북,울진군,0.5,2.0,1.7,1.1,1.1,1.9,2.4,2.1
경북,의성군,1.8,2.4,9.0,3.4,6.2,2.0,3.6,1.8
경북,청도군,1.9,2.0,1.0,4.7,3.5,3.6,2.8,3.2
경북,청송군,2.5,2.3,1.2,2.0,1.9,2.1,3.9,2.3
경북,칠곡군,1.8,2.2,3.0,2.4,2.4,3.7,2.1,2.2
경북,포항시,1.5,3.2,2.8,2.7,3.4,3.3,3.5,3.7
경북,포항시 남구,0.7,4.4,2.8,3.0,4.2,2.8,3.9,3.1
경북,포항시 북구,2.3,2.1,2.8,2.5,2.7,3.8,3.1,4.2
경남,거제시,2.4,3.5,2.2,3.4,3.2,8.2,4.4,4.4
경남,거창군,2.6,2.4,4.2,1.9,3.1,3.2,4.0,2.6
경남,고성군,1.1,0.9,2.5,0.7,1.4,2.5,2.6,4.9
경남,김해시,1.5,3.1,2.5,2.6,5.5,4.7,4.5,1.5
경남,남해군,3.4,2.8,2.0,1.4,2.3,1.5,1.0,3.4
경남,창원시,2.9,3.0,3.7,2.8,3.7,4.6,4.1,4.0
경남,창원시 마산,3.9,3.2,2.6,3.5,3.9,3.4,2.3,4.5
경남,창원시 진해,2.7,3.5,3.8,1.2,3.5,2.5,2.6,2.8
경남,창원시 창원,1.9,2.7,4.3,2.9,3.5,6.3,6.2,4.1
경남,밀양시,1.7,2.5,0.4,3.5,3.3,4.6,3.2,2.6
경남,사천시,2.0,1.3,0.5,3.5,3.6,2.0,3.3,5.6
경남,산청군,4.2,2.3,4.5,3.0,2.2,1.9,2.8,4.1
경남,양산시,1.6,1.4,1.8,4.5,2.9,2.3,2.5,2.4
경남,의령군,5.1,3.5,3.1,0.6,2.5,5.4,1.4,4.1
경남,진주시,1.7,3.5,1.8,2.4,2.7,4.8,3.2,4.0
경남,창녕군,1.3,0.1,0.8,0.1,0.1,1.2,1.7,1.0
경남,통영시,2.3,3.2,1.4,0.5,1.8,6.1,2.2,5.4
경남,하동군,1.6,1.7,1.8,0.7,3.0,0.9,2.8,2.0
경남,함안군,1.7,2.0,3.2,0.9,3.8,2.3,2.6,2.3
경남,함양군,3.6,3.4,1.8,4.4,8.3,5.9,4.6,3.9
경남,합천군,1.8,3.2,1.9,1.0,3.2,1.6,4.2,1.2
제주,서귀포시,2.6,2.1,1.6,2.5,2.5,3.5,2.2,3.7
제주,서귀포시 서귀포,3.6,2.8,1.8,2.4,2.6,4.9,2.3,4.0
제주,서귀포시 동부,1.0,1.3,1.4,3.0,2.2,1.7,3.1,3.3
제주,서귀포시 서부,1.5,1.3,1.2,2.5,2.4,0.9,0.7,3.0
제주,제주시,2.4,2.0,2.3,1.8,2.2,2.0,4.2,4.5
제주,제주시 제주,2.1,1.7,2.4,1.7,2.1,1.7,4.6,5.1
제주,제주시 동부,2.5,1.9,0.8,1.7,0.1,2.9,1.5,1.5
제주,제주시 서부,4.3,4.0,3.1,2.8,3.5,3.6,2.7,2.9
